Order_ID,Customer_ID,Restaurant_ID,Partner_ID,Promo_ID,Order_Date,Order_Status,Payment_Method,Order_Amount,Delivery_Time_Min,Delivery_Rating
50082,10630,20050,30048,40002,2024-11-14,Refunded,Cash,1015.68,26,2
50083,10790,20087,30080,40004,2024-11-19,Refunded,Cash,311.02,17,5
50084,10051,20084,30132,40002,2024-06-03,Pending,Card,1091.75,90,2
50085,10329,20031,30130,40005,2025-01-06,Cancelled,Wallet,1542.21,77,3
50086,10675,20018,30100,40004,2025-05-10,Delivered,UPI,2508.32,42,5
50087,10873,20123,30108,40003,2025-07-01,Pending,Wallet,803.39,50,5
50088,10090,20164,30072,40002,2024-02-08,Refunded,Card,277.24,18,4
50089,10308,20169,30018,40003,2025-03-23,Delivered,UPI,2226.9,28,4
50090,10033,20074,30035,40005,2024-04-19,Delivered,UPI,2268.14,50,2
50091,10854,20105,30044,40002,2024-06-26,delivered,Wallet,2641.09,64,3
50092,10470,20142,30030,40001,2024-09-22,Cancelled,Wallet,1236.28,70,2
50093,10831,20074,30120,40004,2024-07-25,delivered,Card,3065.7,34,4
50094,10347,20064,30008,40003,2025-06-09,delivered,Wallet,449.56,29,5
50095,10747,20191,30088,40002,2025-11-06,Cancelled,Wallet,1109.42,17,1
50096,10353,20003,30066,40005,2024-02-10,delivered,UPI,2778.22,51,2
50097,10973,20094,30078,40003,2025-09-24,Pending,Cash,2733.36,60,4
50098,10013,20174,30106,40005,2024-09-07,Cancelled,UPI,994.59,31,2
50099,10517,20168,30084,40004,2025-03-23,Pending,Cash,2624.09,27,2
50100,10687,20015,30089,40002,2024-11-23,Pending,Card,1780.5,79,1
50101,10467,20087,30121,40004,2024-08-07,delivered,Cash,2564.26,56,2
50102,10335,20007,30007,40002,2025-01-13,Delivered,UPI,317.17,88,1
50103,10204,20119,30103,40003,2025-05-03,Delivered,Wallet,1653.44,49,5
50104,10752,20080,30091,40005,2024-04-18,Pending,UPI,1569.06,71,4
50105,10213,20054,30093,40005,2025-01-06,Cancelled,UPI,1402.55,82,1
50106,10443,20007,30034,40004,2024-04-04,delivered,Card,1541.52,77,3
50107,10104,20057,30015,40002,2025-01-10,Pending,Wallet,2646.87,30,4
50108,10953,20107,30052,40003,2024-11-05,Delivered,Cash,2081.79,75,2
50109,10012,20172,30037,40005,2025-01-22,delivered,Card,1633.12,33,1
50110,10901,20195,30029,40005,2025-01-05,delivered,UPI,2923.4,17,2
50111,10872,20183,30056,40005,2025-04-18,delivered,Card,1675.12,81,2
50112,10823,20008,30109,40002,2025-09-08,Refunded,Cash,562.54,87,3
50113,10431,20056,30132,40004,2024-02-25,Cancelled,UPI,,10,3
50114,10767,20061,30138,40003,2024-08-25,Cancelled,Card,2901.96,39,5
50115,11000,20150,30029,40004,2025-12-30,Cancelled,Card,658.64,44,4
50116,10501,20001,30114,40001,2024-03-12,Delivered,Wallet,2969.3,28,3
50117,10557,20087,30105,40002,2024-07-22,Cancelled,Card,1536.71,30,4
50118,10311,20080,30042,40002,2025-04-01,Refunded,UPI,1218.16,28,2
50119,10517,20076,30048,40004,2025-05-06,Delivered,Wallet,1936.37,85,4
50120,10483,20133,30051,40004,2025-08-29,Pending,Card,1577.05,74,2
50121,10719,20099,30018,40004,2024-04-12,Pending,Cash,837.38,64,3
50122,10661,20039,30120,40005,2025-07-15,Refunded,UPI,1204.13,15,4
50123,10975,20111,30077,40002,2025-07-21,Refunded,UPI,1211.77,28,3
50124,10811,20084,30147,40002,2024-12-14,Refunded,Card,2207.78,80,5
50125,10293,20030,30035,40001,2025-09-23,Cancelled,Cash,1359.78,71,4
50126,10534,20006,30090,40005,2025-06-28,Pending,Cash,1646.75,71,1
50127,10625,20156,30145,40003,2024-01-18,Refunded,Cash,1144.47,59,1
50128,10013,20071,30086,40003,2025-05-21,delivered,Card,1237.61,58,1
50129,10061,20189,30036,40002,2024-11-14,Cancelled,Card,353.22,38,1
50130,10752,20185,30028,40002,2025-07-18,Delivered,UPI,1464.8,29,4
50131,10767,20128,30099,40004,2024-04-05,Delivered,Card,2699.59,86,2
50132,10087,20015,30042,40001,2024-02-09,Delivered,UPI,3128.52,51,2
50133,10110,20047,30051,40005,2025-01-01,Cancelled,Card,465.99,56,1
50134,10334,20101,30105,40003,2025-04-01,Refunded,Card,3135.35,71,1
50135,10170,20047,30039,40003,2025-10-03,Cancelled,UPI,3184.27,67,5
50136,10802,20113,30141,40005,2024-01-15,Delivered,Wallet,2036.39,66,1
50137,10677,20102,30131,40002,2024-02-19,Pending,Card,1971.11,73,2
50138,10708,20166,30002,40005,2025-12-19,Cancelled,UPI,2240.14,56,4
50139,10584,20098,30105,40003,2025-05-06,Cancelled,Card,2293.15,50,4
50140,10812,20171,30002,40005,2025-12-05,Cancelled,Cash,707.86,50,5
50141,10345,20041,30147,40005,2025-05-15,delivered,Cash,927.85,20,4
50142,10153,20110,30022,40005,2025-02-28,Delivered,Cash,2985.05,85,5
50143,10090,20151,30035,40001,2025-01-20,Delivered,Cash,1436.03,24,5
50144,10904,20186,30066,40001,2025-04-04,Refunded,Cash,2803.5,22,1
50145,10220,20017,30067,40003,2025-01-14,Pending,Card,1641.08,75,5
50146,10788,20147,30072,40004,2025-10-20,Refunded,Cash,3193.54,61,4
50147,10768,20038,30076,40001,2025-09-08,Delivered,Card,3071.57,55,4
50148,10835,20130,30009,40004,2025-05-04,Pending,UPI,2762.35,21,1
50149,10221,20119,30121,40001,2024-10-24,Delivered,Cash,2742.3,87,2
50150,10661,20048,30129,40003,2024-12-10,Delivered,Card,3066.87,30,2
50151,10257,20067,30016,40002,2024-06-13,Cancelled,Cash,1579.59,18,4
50152,10218,20026,30107,40004,2024-11-16,Refunded,UPI,1761.51,59,2
50153,10843,20136,30051,40003,2024-06-13,Refunded,UPI,2129.95,80,3
50154,10937,20036,30121,40004,2025-05-19,Cancelled,Cash,1367.84,82,3
50155,10781,20151,30085,40002,2024-12-17,Refunded,UPI,424.65,57,4
50156,10511,20150,30073,40003,2025-01-29,Cancelled,Card,3076.12,50,1
50157,10127,20073,30117,40003,2025-07-30,Refunded,Cash,1098.94,71,2
50158,10369,20049,30049,40003,2024-10-27,Cancelled,Card,1793.17,85,1
50159,10567,20019,30053,40005,2025-06-03,Cancelled,UPI,1415.12,40,1
50160,10198,20174,30149,40001,2024-09-29,Delivered,UPI,2227.45,64,1
50161,10917,20146,30003,40005,2025-03-01,Pending,Cash,3104.72,85,5
50162,10587,20052,30046,40002,2024-04-14,Delivered,Card,2658.97,25,3
50163,10980,20083,30099,40004,2025-12-15,delivered,UPI,1923.26,18,5
50164,10114,20192,30070,40005,2024-05-31,Refunded,Wallet,2677.67,56,1
50165,10438,20160,30137,40004,2024-06-13,Delivered,Cash,3056.94,56,5
50166,10262,20140,30037,40002,2024-06-10,Pending,Card,530.86,29,1
50167,10164,20080,30129,40005,2025-08-11,Delivered,UPI,1932.68,81,4
50168,10769,20004,30015,40002,2025-03-08,delivered,Card,1391.11,40,1
50169,10248,20199,30024,40004,2025-08-26,Pending,Wallet,865.09,64,3
50170,10228,20172,30013,40004,2025-05-30,Delivered,Card,1587.22,14,5
50171,10072,20067,30022,40003,2024-03-31,Cancelled,Cash,2969.38,20,4
50172,10525,20200,30115,40002,2025-12-03,Delivered,Card,2443.87,32,3
50173,10724,20132,30110,40002,2025-08-24,Delivered,UPI,1450.41,73,1
50174,10839,20161,30015,40003,2025-06-03,Cancelled,UPI,3168.7,52,1
50175,10523,20104,30044,40002,2025-11-16,Cancelled,Card,435.57,65,3
50176,10246,20120,30001,40002,2025-11-08,Delivered,Wallet,2156.58,22,2
50177,10704,20074,30094,40003,2024-09-11,delivered,Cash,1376.49,52,2
50178,10705,20111,30018,40002,2024-03-27,Refunded,UPI,236.74,17,5
50179,10943,20161,30026,40004,2025-05-29,Pending,Wallet,711.06,42,2
50180,10577,20115,30075,40001,2025-08-26,Refunded,Wallet,425.53,26,2
50181,10131,20169,30007,40002,2025-08-15,Refunded,UPI,326.71,19,1
50182,10056,20057,30150,40003,2024-12-22,Cancelled,Card,2589.43,56,4
50183,10166,20113,30113,40002,2024-01-04,Pending,Card,2313.63,21,5
50184,10653,20040,30067,40001,2024-04-27,Cancelled,Wallet,2356.42,21,2
50185,10896,20091,30022,40003,2025-08-27,Delivered,Cash,131.16,81,5
50186,10546,20051,30080,40005,2024-07-28,delivered,Wallet,1481.33,53,2
50187,10573,20151,30057,40005,2024-10-11,delivered,Card,1271.0,74,1
50188,10190,20012,30137,40003,2024-10-09,delivered,UPI,1409.85,90,4
50189,10488,20064,30131,40005,2025-01-19,delivered,Cash,2525.57,47,4
50190,10839,20066,30124,40003,2025-11-29,Delivered,Card,2676.46,67,3
50191,10369,20023,30093,40002,2024-08-27,Refunded,Wallet,2304.49,42,3
50192,10562,20016,30088,40003,2025-02-23,Pending,UPI,2255.98,65,5
50193,10824,20059,30088,40003,2025-04-28,Pending,UPI,1736.3,33,4
50194,10277,20125,30012,40002,2024-12-13,Cancelled,Wallet,434.45,66,3
50195,10158,20165,30047,40002,2024-12-26,Pending,Cash,1417.38,17,2
50196,10913,20014,30110,40004,2024-07-15,Cancelled,Card,1141.01,57,5
50197,10451,20131,30102,40005,2024-09-18,Pending,UPI,487.56,60,4
50198,10754,20096,30030,40003,2024-12-06,Delivered,Card,692.42,14,5
50199,10021,20149,30147,40005,2024-08-25,Cancelled,Cash,2326.96,22,2
50200,10239,20121,30148,40003,2024-05-04,Cancelled,UPI,2301.08,83,3
50201,10093,20131,30118,40001,2024-08-31,delivered,Card,1709.36,66,3
50202,10016,20059,30030,40003,2025-02-13,Pending,Card,3178.98,64,2
50203,10387,20163,30010,40005,2025-07-17,Cancelled,Cash,1147.22,44,4
50204,10480,20004,30014,40004,2025-04-18,Refunded,Card,2510.6,86,5
50205,10863,20121,30141,40004,2024-06-12,delivered,UPI,659.58,43,4
50206,10319,20119,30055,40001,2024-03-10,Delivered,UPI,3011.62,21,2
50207,10421,20130,30117,40003,2025-12-19,Refunded,Cash,1256.3,76,3
50208,10103,20131,30136,40004,2024-04-26,Cancelled,Cash,3144.02,47,5
50209,10367,20086,30144,40005,2024-10-07,Refunded,Cash,765.31,20,5
50210,10864,20030,30094,40005,2025-10-19,Pending,Cash,3062.09,27,3
50211,10347,20042,30107,40001,2025-01-04,Delivered,Card,2195.91,61,1
50212,10681,20137,30115,40003,2025-02-19,Cancelled,Cash,618.91,39,2
50213,10169,20096,30015,40001,2025-01-20,Refunded,Card,2553.09,51,4
50214,10559,20121,30051,40005,2024-06-26,Refunded,UPI,2201.15,32,2
50215,10140,20180,30044,40005,2024-11-17,delivered,Cash,916.84,80,5
50216,10751,20158,30029,40002,2024-10-07,Refunded,Cash,532.76,48,2
50217,10807,20200,30147,40002,2025-11-18,delivered,Wallet,1802.26,50,5
50218,10506,20115,30141,40002,2024-03-01,Pending,UPI,508.93,20,5
50219,10957,20177,30132,40002,2024-09-30,delivered,UPI,2044.0,32,5
50220,10912,20059,30113,40001,2025-12-06,delivered,Wallet,191.97,78,2
50221,10322,20163,30087,40005,2024-01-27,Cancelled,Card,2776.29,53,3
50222,10024,20160,30031,40001,2024-06-12,Delivered,Cash,323.55,45,3
50223,10891,20053,30113,40005,2024-10-14,Delivered,UPI,2953.93,17,3
50224,10972,20170,30142,40004,2025-09-19,Delivered,Card,821.19,58,5
50225,10850,20051,30057,40003,2024-10-04,Refunded,Card,1549.11,27,3
50226,10047,20058,30025,40002,2025-03-26,Refunded,Cash,,69,5
50227,10028,20160,30092,40004,2024-08-02,Refunded,Card,1191.66,54,4
50228,10161,20135,30040,40004,2024-07-07,Refunded,Wallet,2375.15,74,2
50229,10670,20185,30064,40003,2025-08-07,Cancelled,UPI,2543.91,43,3
50230,10494,20073,30097,40005,2025-08-15,Delivered,Card,1193.68,50,4
50231,10261,20036,30142,40005,2025-09-07,Pending,Card,2607.05,31,3
50232,10806,20174,30112,40004,2025-03-23,Delivered,Wallet,2190.46,34,1
50233,10522,20039,30082,40002,2025-10-21,Cancelled,Wallet,600.89,59,3
50234,10740,20148,30049,40002,2025-05-01,Cancelled,Card,578.65,66,5
50235,10018,20052,30114,40001,2025-10-23,Delivered,UPI,1617.32,78,4
50236,10646,20187,30059,40005,2024-06-25,Pending,Cash,790.27,57,1
50237,10659,20041,30079,40002,2024-09-15,Delivered,UPI,1598.22,17,5
50238,10203,20064,30053,40001,2024-09-18,Delivered,Cash,2800.85,21,3
50239,10001,20077,30119,40002,2025-01-15,Pending,Card,1627.22,62,1
50240,10118,20085,30028,40004,2025-12-14,Delivered,Wallet,2443.42,12,2
50241,10321,20194,30100,40004,2025-10-29,Delivered,Wallet,763.76,38,3
50242,10971,20132,30113,40004,2025-08-21,delivered,Wallet,1407.19,45,2
50243,10217,20170,30013,40005,2024-08-08,Refunded,Wallet,2670.11,83,2
50244,10886,20031,30021,40003,2025-03-17,delivered,UPI,3185.39,11,3
50245,10864,20050,30121,40002,2024-11-03,Cancelled,Wallet,2051.28,36,2
50246,10674,20076,30006,40004,2025-03-28,Delivered,Cash,2099.25,76,5
50247,10132,20013,30021,40003,2024-02-14,Delivered,Cash,833.01,49,5
50248,10119,20024,30018,40003,2024-01-26,Cancelled,Cash,2240.37,32,5
50249,10758,20107,30032,40001,2025-06-19,delivered,Wallet,1336.46,48,4
50250,10110,20112,30059,40004,2024-07-23,Refunded,Cash,3099.11,71,4
50251,10286,20029,30011,40004,2024-09-25,delivered,Card,1331.01,29,4
50252,10283,20093,30040,40005,2025-06-15,delivered,Card,1320.46,64,2
50253,10126,20144,30005,40004,2024-03-24,Cancelled,UPI,3010.56,88,4
50254,10933,20151,30113,40001,2024-04-14,Pending,UPI,2163.47,61,3
50255,10831,20097,30094,40002,2025-04-29,Delivered,UPI,1678.86,12,1
50256,10654,20021,30024,40005,2024-07-18,Cancelled,UPI,585.43,27,3
50257,10452,20065,30062,40003,2024-02-18,Refunded,UPI,2649.09,79,4
50258,10884,20029,30026,40004,2024-03-06,Delivered,Card,1060.36,85,3
50259,10192,20148,30112,40001,2024-10-15,Pending,Wallet,2207.09,84,3
50260,10654,20165,30131,40001,2024-04-06,Pending,Wallet,1041.14,53,2
50261,10521,20129,30075,40003,2025-01-17,Pending,Card,1255.74,62,5
50262,10914,20062,30112,40004,2024-09-20,delivered,Card,963.33,27,5
50263,10016,20021,30066,40002,2025-01-04,delivered,Cash,2114.84,88,2
50264,10731,20167,30025,40003,2025-11-07,Cancelled,UPI,1349.54,33,4
50265,10704,20108,30012,40002,2025-02-05,delivered,Wallet,2097.38,64,2
50266,10759,20167,30074,40004,2025-11-05,delivered,Wallet,1273.78,75,4
50267,10989,20132,30087,40005,2025-04-21,Cancelled,UPI,698.8,20,2
50268,10733,20143,30045,40003,2024-10-01,Delivered,Wallet,2223.7,70,3
50269,10819,20048,30140,40002,2024-06-23,Pending,UPI,1082.45,29,5
50270,10345,20027,30135,40002,2024-05-26,Refunded,Card,1752.68,52,3
50271,10211,20102,30004,40004,2024-08-13,Pending,Wallet,1052.08,69,1
50272,10806,20001,30025,40002,2025-02-16,Refunded,Cash,1476.97,40,1
50273,10727,20108,30149,40005,2024-04-02,Refunded,Card,1948.14,67,3
50274,10382,20147,30009,40001,2025-08-28,Delivered,UPI,775.83,90,5
50275,10563,20038,30103,40002,2025-07-06,Refunded,Wallet,2613.54,44,3
50276,10093,20182,30147,40003,2025-09-05,Cancelled,Wallet,1349.43,34,3
50277,10049,20129,30096,40005,2024-04-14,Pending,UPI,1865.6,52,3
50278,10679,20071,30111,40005,2025-04-01,Pending,Wallet,2295.65,69,4
50279,10943,20029,30045,40001,2024-09-11,Pending,Card,2459.7,36,2
50280,10193,20086,30115,40004,2024-02-17,Pending,Card,764.0,17,2
50281,10464,20008,30005,40004,2025-02-25,Delivered,UPI,1493.75,62,2
50282,10601,20106,30061,40003,2024-11-08,Delivered,Wallet,2737.28,63,4
50283,10010,20083,30010,40005,2025-03-17,delivered,Card,296.39,38,3
50284,10097,20015,30109,40004,2025-12-15,Delivered,Wallet,3159.09,57,1
50285,10324,20004,30099,40003,2025-02-23,delivered,UPI,1924.48,73,5
50286,10504,20026,30104,40001,2025-05-24,Delivered,Wallet,1743.14,74,5
50287,10481,20197,30078,40001,2025-09-12,delivered,Wallet,196.65,86,3
50288,10846,20122,30064,40003,2025-08-13,Delivered,Wallet,2178.61,58,1
50289,10632,20014,30085,40003,2025-07-10,delivered,Card,1031.58,82,4
50290,10819,20169,30008,40004,2025-04-16,delivered,Card,2933.62,89,4
50291,10047,20181,30075,40001,2024-05-31,delivered,Cash,1056.17,17,2
50292,10820,20068,30061,40004,2024-08-19,Cancelled,Cash,215.14,88,5
50293,10254,20113,30133,40004,2024-12-20,Delivered,Card,556.81,67,2
50294,10958,20095,30005,40005,2024-10-04,Pending,Wallet,2720.15,16,1
50295,10407,20141,30017,40003,2024-12-03,Delivered,UPI,622.57,29,4
50296,10555,20180,30011,40005,2024-05-04,Pending,Wallet,532.09,74,2
50297,10222,20040,30079,40002,2024-01-02,Delivered,UPI,1620.57,43,1
50298,10792,20113,30134,40003,2024-05-12,Cancelled,Card,2886.88,50,4
50299,10459,20071,30065,40005,2025-07-09,delivered,Card,2227.85,27,5
50300,10249,20178,30006,40001,2024-07-25,Cancelled,Cash,2767.39,10,3
50301,10943,20198,30120,40005,2024-06-12,Pending,Wallet,1114.96,23,1
50302,10166,20054,30019,40001,2024-04-03,Cancelled,Wallet,1194.93,20,2
50303,10895,20105,30116,40001,2024-02-01,Delivered,Wallet,880.3,53,2
50304,10732,20089,30117,40005,2025-01-05,Refunded,Card,865.53,59,1
50305,10299,20190,30031,40002,2025-03-23,Pending,Cash,1022.26,66,3
50306,10311,20098,30023,40001,2025-04-05,Refunded,UPI,697.86,82,4
50307,10507,20067,30102,40001,2024-08-25,Pending,Card,2776.53,75,4
50308,10493,20098,30088,40004,2025-10-18,Delivered,UPI,707.72,81,1
50309,10316,20106,30132,40002,2024-10-21,Cancelled,Cash,2963.54,67,4
50310,10490,20157,30036,40002,2024-09-17,delivered,UPI,1006.23,62,1
50311,10840,20128,30096,40002,2025-03-13,delivered,UPI,965.87,69,4
50312,10092,20164,30057,40003,2025-01-19,Delivered,Card,2363.6,63,3
50313,10649,20111,30094,40004,2024-04-20,Refunded,Card,1895.63,18,3
50314,10768,20115,30106,40003,2025-08-07,delivered,Wallet,1718.06,90,2
50315,10520,20139,30110,40003,2024-09-13,delivered,Wallet,858.77,50,4
50316,10512,20145,30131,40002,2025-11-08,Delivered,UPI,2372.5,30,1
50317,10911,20056,30061,40004,2024-11-01,Delivered,Wallet,1185.11,78,4
50318,10750,20017,30045,40002,2025-12-06,Delivered,UPI,1761.36,58,2
50319,10371,20018,30037,40005,2024-11-28,Pending,Wallet,2950.68,38,1
50320,10333,20009,30104,40003,2025-01-15,Refunded,Wallet,255.05,39,3
50321,10164,20196,30117,40003,2024-05-17,Cancelled,Wallet,692.66,81,1
50322,10689,20071,30137,40002,2025-10-16,Pending,UPI,707.18,81,3
50323,10864,20082,30004,40001,2025-03-31,delivered,Wallet,1302.3,90,3
50324,10587,20181,30057,40003,2024-08-01,Cancelled,Cash,1048.67,81,4
50325,10085,20003,30148,40001,2025-08-26,Refunded,Wallet,1884.93,90,3
50326,10803,20167,30141,40005,2024-08-02,Refunded,Wallet,1653.46,14,4
50327,10335,20121,30001,40003,2024-10-26,Cancelled,Card,2495.26,66,5
50328,10292,20137,30126,40005,2024-07-07,Cancelled,Card,2180.16,49,4
50329,10304,20090,30050,40005,2024-05-30,Delivered,Card,1176.35,62,3
50330,10152,20025,30078,40003,2025-06-11,delivered,Wallet,479.64,44,4
50331,10784,20192,30144,40003,2024-09-18,Pending,UPI,3010.18,38,3
50332,10817,20111,30068,40003,2024-01-25,Cancelled,Cash,826.64,46,1
50333,10141,20055,30094,40001,2025-10-15,Pending,Cash,1699.67,53,1
50334,10257,20023,30149,40004,2025-05-25,Refunded,Cash,1685.13,56,5
50335,10352,20108,30068,40005,2024-07-04,Delivered,Wallet,1713.33,73,3
50336,10907,20067,30026,40002,2024-09-10,Cancelled,Card,2929.56,14,2
50337,10134,20138,30127,40003,2025-05-25,Cancelled,Cash,2277.8,17,2
50338,10436,20133,30122,40002,2024-02-16,Cancelled,Cash,2168.57,15,1
50339,10358,20031,30125,40002,2025-06-09,Pending,Card,,90,1
50340,10882,20097,30033,40003,2024-08-10,Cancelled,Cash,1712.03,70,1
50341,10805,20102,30054,40003,2024-01-21,Pending,Wallet,2991.04,72,2
50342,10964,20031,30118,40002,2025-09-07,delivered,UPI,732.97,53,2
50343,10741,20165,30082,40003,2025-12-02,delivered,UPI,435.26,62,1
50344,10305,20161,30099,40004,2025-04-27,Delivered,Cash,2432.31,53,3
50345,10193,20126,30046,40001,2024-07-28,Delivered,Cash,2630.23,84,4
50346,10980,20172,30022,40005,2025-12-22,Delivered,UPI,699.7,87,2
50347,10450,20153,30065,40003,2024-01-30,Refunded,Wallet,168.64,82,3
50348,10140,20119,30054,40002,2024-09-05,Pending,Card,1746.86,13,5
50349,10424,20093,30001,40004,2025-03-05,Refunded,UPI,950.49,74,1
50350,10862,20188,30011,40004,2025-12-13,delivered,Card,1655.07,73,4
